stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
tearfully.panther.survey,Mpererwe Photo Care Studio,,0.37956,32.57674,,,
skate.stem.towns,Kyanja,,0.39539,32.59356,,,
width.suitable.damp,Kumusavo,,0.4049,32.58812,,,
health.bookcases.arming,Kanyanya Service Station,,0.37318,32.57648,,,
saucepan.goal.roughness,Shell Kagoma,,0.40132,32.54557,,,
squabbles.caused.smiled,Mpelerwe Flower Gardens,,0.39395,32.58069,,,
blank.deploying.firmer,Gayaza Rd - Kiyimba Rd Jct,,0.39207,32.58006,,,
boardroom.rapid.baguette,Mpelerwe Stage,,0.38147,32.57696,,,
tram.stiletto.ignoring,Baliira Memorial Primary School,,0.36854,32.58519,,,
baker.sculpting.influence,Go Win For Christ Mission International,,0.40058,32.58292,,,
poppy.cocktail.crusaders,Cold Night Bar,,0.40253,32.58438,,,
trumpet.pipeline.dolly,Roy Medical Centre,,0.38279,32.59532,,,
rival.sleepers.purist,Manchester,,0.3838,32.59445,,,
mule.tilts.gliding,Sir Apollo Kaggwa Primary School,,0.38554,32.59328,,,
manuals.shame.regarding,Prime Petrol Station (Kisaasi Rd),,0.3894,32.59294,,,
last.companies.alleges,Kumukaaga,,0.39879,32.58228,,,
skin.prefix.snooping,New Era Storm Inn,,0.3965,32.58152,,,
folk.raven.tycoons,Bytrust Petrol Station (Bukoto-kisasi Roundabout),,0.36891,32.59683,,,
musically.seasonal.testers,Mariam High School,,0.36479,32.59845,,,
tomb.slimming.panel,Step By Step Infant School,,0.37995,32.59816,,,
fork.trombone.darting,Ngeye House,,0.38102,32.59723,,,
reefs.unit.buyers,Kisaasi,,0.36949,32.60273,,,
dispensed.blows.bride,Kumbuzi Kiteetikka Stage,,0.40447,32.5883,,,
sized.smuggled.parent,Mbuya Barracks,,0.32378,32.6227,,,
spoiled.hoped.woof,Welfa Medical Centre (Mbuya Kinawataka),,0.33333,32.62508,,,
finds.nesting.downsize,Spedag Interfreight,,0.33102,32.62235,,,
agrees.eyeful.shadowing,Kireka Rd (Kunya),,0.31866,32.63047,,,
endearing.corner.pixel,Mwana Kindergarten And Primary School,,0.3346,32.63115,,,
ticked.crumples.developer,Ministry of Defence Headquarters,,0.32131,32.62328,,,
mutual.tonight.salaried,Mubya Primary School,,0.32813,32.62285,,,
rooftop.fled.bookcases,Kinawataka Market,,0.333,32.62378,,,
scars.scrubbing.transmits,Portbell Rd - Martin Street Jct,,0.3058,32.64245,,,
invent.overgrown.trucked,Gaz Fuel Station (Bugolobi),,0.31761,32.62991,,,
smokers.refreshed.shorten,Kitintale Stage,,0.31343,32.63537,,,
hazel.risky.multiple,Bugolobi Junction,,0.32013,32.62465,,,
tailed.riverbank.seaweed,Tafina Complex,,0.31535,32.63373,,,
guidebook.clan.helper,City Joy Supermarket,,0.319,32.63155,,,
digits.mended.squeaking,Kitintale Mosque,,0.31659,32.63239,,,
dusty.dolly.over,Kitintale Stage,,0.31311,32.63564,,,
incisions.engraving.tinted,China Bodaboda,,0.33068,32.63677,,,
shiny.crisper.daredevil,Maseruka's Place,,0.32866,32.63794,,,
moved.yachting.notes,Kireka Rd T Intersection,,0.34298,32.64511,,,
reflected.fact.dustbin,CSI Business Complex,,0.3407,32.63995,,,
grudging.stands.perfected,Hope Clinic,,0.32864,32.6491,,,
warrior.wagers.slugs,Focus Nursery And Primary School,,0.3309,32.65268,,,
remission.cases.tests,Jambula,,0.33443,32.62997,,,
recently.enrolling.brink,Ranger Motors,,0.33377,32.62708,,,
cake.suave.like,Uganda Police Communication,,0.3373,32.63573,,,
alive.cats.confusion,Kampala Church,,0.33943,32.63793,,,
fine.rebounded.sourced,Pandonor Pharamacy,,0.33183,32.62277,,,
taxpayers.speedy.victor,Tick Pharmacy,,0.33435,32.63284,,,
relishes.expressed.hangs,Birungi Complex,,0.34427,32.64785,,,
decoding.annotated.rapport,Bumper,,0.34211,32.64321,,,
dynamics.waltzes.octopus,Kasokoso Stage,,0.33383,32.65242,,,
cute.prouder.poets,London Started Primary School,,0.32769,32.64707,,,
shocking.weeknight.logbook,Namboole Stadium,,0.34773,32.65681,,,
exporters.vaccines.happening,Palace Junior School,,0.34587,32.6507,,,
steroids.fines.flinches,Delta (Kyengera),,0.29787,32.5065,,,
scared.skylights.maddening,Highway - Petro City Head Offices,,0.30002,32.5089,,,
minds.drummers.rejects,Kyengera Market,,0.29188,32.49978,,,
irony.applied.proper,Mandela Sports Hotel,,0.34574,32.65646,,,
dancer.sweeper.highlighted,Kirinya Rd - Kasokoso Rd,,0.34419,32.65229,,,
sped.executive.swooning,Hared Petrol Station (Kirinya Rd),,0.34341,32.64599,,,
influencing.unfounded.pioneered,Kitemu,,0.27352,32.46697,,,
rechecking.relatives.unanchored,Nsangi,,0.28304,32.45631,,,
exact.shuffles.studs,Corner House (Kireka Rd),,0.32709,32.63736,,,
petulant.sectors.fragment,New Destiny Community Church Uganda,,0.32485,32.63697,,,
solved.decorator.achieving,Mapco Petrol Station ( Kyengera),,0.29112,32.49875,,,
reminder.bulbs.shocks,Gapco (Kyengera),,0.29678,32.50528,,,
plodding.exclaim.pinch,Kyengera Taxi Park,,0.29296,32.50198,,,
simply.observers.grumbling,Buddo,,0.28496,32.4881,,,
array.horn.indicates,City Parents Primary School,,0.30503,32.56317,,,
pushover.woes.develop,True Worship Center International,,0.30853,32.55956,,,
picked.braked.cookie,Namungoona - Masanafu (Sentema Rd),,0.32976,32.53191,,,
spring.blanking.they,Masanafu - Sentema Rd,,0.33078,32.5298,,,
exist.groomed.petulant,Kabaka Roundabout,,0.30637,32.56161,,,
shipped.winds.jars,Super Oil (Rubaga Rd),,0.30689,32.562,,,
bulges.blunders.yards,Nabunya Rd - Kabuusu Rd Jct,,0.30241,32.55842,,,
gobblers.airliners.wash,Mengo Post Office,,0.30916,32.55894,,,
crouching.lyrics.helpers,Masanafu Stage,,0.33239,32.52651,,,
contained.swipes.blushes,Masanafu Stage,,0.33162,32.52798,,,
alley.curry.stuffy,Namboole Stage,,0.34631,32.66061,,,
pillow.copes.thrillers,Namboole Stadium,,0.34749,32.65678,,,
coconuts.hedgehog.instead,Katungye Grocery (Masiro Rd),,0.32693,32.54404,,,
smarter.refilled.ideal,Cleanex Fuel Station Masanafu,,0.32854,32.53393,,,
unspoiled.bugs.driver,Olympus Fuel Station,,0.31029,32.56468,,,
mocked.stockpile.quitter,Kabaka Roundabout,,0.30656,32.56174,,,
homework.sized.album,Red Sox - Kirenya Bukasa Rd,,0.31416,32.67377,,,
stumps.permanent.tinsel,Bukasa Stage,,0.3108,32.6732,,,
irrigate.slings.rotate,Kayunka Catolic Church,,0.37284,32.73203,,,
inflation.thin.gilding,Taqadum Fuel Station,,0.37238,32.7289,,,
ballroom.swimsuits.servicing,Namataba Football Pitch,,0.32735,32.67518,,,
requires.dating.soaps,Kimzy Unisex Salon - Kirenya Bukasa Rd,,0.32257,32.67539,,,
cats.unionists.duplicity,Kavule Taxi Stage,,0.3454,32.66107,,,
contained.conjured.tuned,Kavule Taxi Stage,,0.34632,32.6613,,,
storybook.breakaway.dummy,Kikunga Taxi,,0.37006,32.72513,,,
