trip_id,start_time,end_time,headway_secs,exact_times
trip_0176,06:00:00,16:00:00,1200,0
trip_0176,16:00:00,20:00:00,1500,0
trip_0177,07:00:00,10:00:00,1200,0
trip_0178,06:00:00,07:00:00,600,0
trip_0178,10:00:00,16:00:00,600,0
trip_0178,20:00:00,21:00:00,600,0
trip_0179,16:00:00,20:00:00,900,0
trip_0180,06:00:00,07:00:00,600,0
trip_0180,07:00:00,10:00:00,1200,0
trip_0180,10:00:00,16:00:00,600,0
trip_0180,16:00:00,20:00:00,900,0
trip_0180,20:00:00,21:00:00,600,0
trip_0181,08:00:00,14:07:00,10800,0
trip_0181,17:30:00,20:01:00,9000,0
trip_0182,07:00:00,10:00:00,300,0
trip_0183,16:00:00,20:00:00,900,0
trip_0184,07:00:00,10:00:00,300,0
trip_0185,08:00:00,10:00:00,1500,0
trip_0186,16:00:00,20:00:00,1200,0
trip_0187,05:30:00,07:00:00,600,0
trip_0187,10:00:00,16:00:00,600,0
trip_0187,16:00:00,20:00:00,1200,0
trip_0187,20:00:00,20:30:00,600,0
trip_0188,06:00:00,16:00:00,600,0
trip_0188,20:00:00,21:30:00,600,0
