trip_id,service_id,route_id,shape_id,direction_id,trip_headsign
259,Mo-Su,10361922,10361921,1,Vridi Iran
260,Mo-Su,10391644,10394939,0,Treichville
261,Mo-Su,10391644,10391642,1,Yopougon (Abobo Doumé)
262,Mo-Su,10394941,10391643,0,Treichville
263,Mo-Su,10394941,10394940,1,Koumassi
264,Mo-Su,10395065,10395064,0,Treichville
265,Mo-Su,10395065,10395063,1,Yopougon (Abobo Doumé)
266,Mo-Su,10395136,10395134,0,Yopougon (Abobo Doumé)
267,Mo-Su,10395136,10395135,1,Plateau
268,Mo-Su,10395178,10395176,0,Treichville
269,Mo-Su,10395178,10395177,1,Blockauss
270,Mo-Su,10397090,10397088,0,CHU Treichville
271,Mo-Su,10397090,10397089,1,Angré Château
272,Mo-Su,10397199,10397198,0,Gare Sud
273,Mo-Su,10397199,10397197,1,Bingerville
274,Mo-Su,10402404,10402403,0,Cocody Riviera 2
275,Mo-Su,10402404,10402402,1,Adjamé Liberté
276,Mo-Su,10402518,10402517,0,Cocody Anono
277,Mo-Su,10402518,10402516,1,Adjamé gare en haut
278,Mo-Su,10402749,10402748,0,Bingerville
279,Mo-Su,10402749,10402747,1,Adjamé gare en haut
280,Mo-Su,10403055,10403054,0,Cocody Riviera M'pouto
281,Mo-Su,10403055,10403053,1,Adjamé gare en haut
282,Mo-Su,10403061,10403060,0,Yopougon Kowët
283,Mo-Su,10403061,10403059,1,Adjamé Texaco
284,Mo-Su,10404238,10404237,0,Cocody Akouédo
285,Mo-Su,10404238,10404236,1,Adjamé gare en haut
286,Mo-Su,10406129,10406127,0,Treichville Gare de Bassam
287,Mo-Su,10406129,10406128,1,Port-Bouët Gonzagueville
288,Mo-Su,10406387,10406386,0,Yopougon Palais
289,Mo-Su,10406387,10406385,1,Adjamé Renault
290,Mo-Su,10406547,10406545,0,Yopougon Niangon Terminus 27
291,Mo-Su,10406547,10406546,1,Adjamé Liberté
292,Mo-Su,10406621,10406619,0,Koumassi
293,Mo-Su,10406621,10406620,1,Adjamé Liberté
294,Mo-Su,10406865,10406864,0,Yopougon Palais
295,Mo-Su,10406865,10406863,1,Adjamé Liberté
296,Mo-Su,10407729,10407727,0,Yopougon Camp Militaire
297,Mo-Su,10407729,10407728,1,Adjamé Texaco
298,Mo-Su,10407850,10407849,0,Yopougon Carrefour Académie
299,Mo-Su,10407850,10407848,1,Adjamé Liberté
300,Mo-Su,10408669,10408667,0,Riviera 2
301,Mo-Su,10408669,10408668,1,Angré Terminus 81-82
302,Mo-Su,10408694,10408692,0,Riviera 2
303,Mo-Su,10408694,10408693,1,Angré 22ème
304,Mo-Su,10408727,10408726,0,Riviera 2
305,Mo-Su,10408727,10408725,1,Attoban Camp
306,Mo-Su,10408771,10408769,0,Treichville Gare de Bassam
307,Mo-Su,10408771,10408770,1,Treichville Gare Bateau-bus
308,Mo-Su,10408836,10408835,0,Yopougon Micao
309,Mo-Su,10408836,10408834,1,Yopougon Gabriel gare
310,Mo-Su,10408939,10300150,0,Orca déco
311,Mo-Su,10408939,10416163,1,Terminus 81/82
312,Mo-Su,10409494,10409493,0,Abobo Gare Mairie
313,Mo-Su,10409494,10409492,1,Adjamé Renault
314,Mo-Su,10409714,10409712,0,Adjamé Liberté
315,Mo-Su,10409714,10409713,1,Carrefour Lokoa
316,Mo-Su,10410754,10410753,0,Bingerville
317,Mo-Su,10410754,10410752,1,Adjamé Liberté
318,Mo-Su,10411047,10411046,0,Adjamé Agban
319,Mo-Su,10411047,10412113,1,Yopougon gare Gesco
320,Mo-Su,10412424,10412423,0,Vallon
321,Mo-Su,10412424,10412422,1,Zoo
322,Mo-Su,10412781,10412780,0,Sococe Deux plateaux
323,Mo-Su,10412781,10412779,1,Zoo
324,Mo-Su,10413050,10413049,0,CHU Angré
325,Mo-Su,10413050,10413048,1,Abobo Azur Mobil
326,Mo-Su,10413162,10413161,0,8e Tranche CNPS en haut
327,Mo-Su,10413162,10413160,1,Abobo Azur Mobile
328,Mo-Su,10413253,10413252,0,Adjamé Mairie Dallas
329,Mo-Su,10413253,10413251,1,Adjamé Liberté
330,Mo-Su,10413686,10413685,0,Angré Château
331,Mo-Su,10413686,10413684,1,Abobo Azur Mobil
332,Mo-Su,10416510,10416508,0,Palmeraie
333,Mo-Su,10416510,10416509,1,Les Rosiers
334,Mo-Su,10416736,10416735,0,Palmeraie SIPIM 4
335,Mo-Su,10416736,10416734,1,Carrefour 9km
336,Mo-Su,10430127,10430126,0,Ndotre
337,Mo-Su,10430127,10430125,1,Abobo Gare
338,Mo-Su,10430197,10430196,0,Abobo Azur Mobil
339,Mo-Su,10430197,10430195,1,Saint Jean
340,Mo-Su,10430593,10430591,0,Zoo
341,Mo-Su,10430593,10430592,1,Aghien
342,Mo-Su,10430627,10430626,0,Yopougon Carrefour Zone
343,Mo-Su,10430627,10430625,1,Abobo Gendarmerie
344,Mo-Su,10431102,10431100,0,Zoo
345,Mo-Su,10431102,10431101,1,Attoban
346,Mo-Su,10434093,10434092,0,Yopougon Lubafrique
347,Mo-Su,10434093,10434091,1,Ecole de police
348,Mo-Su,10442364,10442362,0,Yopougon Sideci IGES
349,Mo-Su,10442364,10442363,1,Adjamé Liberté
350,Mo-Su,10459360,10459359,0,Adjamé mosquée
351,Mo-Su,10459360,10459358,1,Yopougon Niangon Terminus 27
352,Mo-Su,10459458,10459457,0,Yopougon marché Bagnon
353,Mo-Su,10459458,10459456,1,Gare Kobenan Agban
354,Mo-Su,10460517,10460516,0,Adjamé Nouvelle Gare
355,Mo-Su,10460517,10460515,1,BC
356,Mo-Su,10460657,10460656,0,Belle ville
357,Mo-Su,10460657,10460655,1,Abobo Gare
358,Mo-Su,10460968,10460967,0,Gare d'Anyama
359,Mo-Su,10460968,10460966,1,Abobo Gare
360,Mo-Su,10461146,10474251,0,Angré Petro Ivoire
361,Mo-Su,10461146,10474250,1,Abobo Gare
362,Mo-Su,10461307,10461306,0,Adjamé Nouvelle Gare
363,Mo-Su,10461307,10461305,1,Carrefour JAUG
364,Mo-Su,10461959,10461958,0,Adjame mosquée
365,Mo-Su,10461959,10461957,1,Yopougon Lokoa
366,Mo-Su,10464893,10416468,0,Yopougon (Abobo Doumé)
367,Mo-Su,10464893,10416469,1,Plateau
368,Mo-Su,10465035,10465033,0,Plateau
369,Mo-Su,10465035,10465034,1,Abatta
370,Mo-Su,10474495,10474494,0,Yopougon koweit
371,Mo-Su,10474495,10474493,1,Gare Kobenan Agban
372,Mo-Su,10474747,10474746,0,Yopougon Lubafrique
373,Mo-Su,10474747,10474745,1,Gare kobenan Agban
374,Mo-Su,10476005,10476004,0,Akouedo Attié
375,Mo-Su,10476005,10476003,1,Adjamé gare en haut
376,Mo-Su,10476178,10476177,0,Bingerville
377,Mo-Su,10476178,10476176,1,Gare Kobenan Agban
378,Mo-Su,10476298,10476297,0,Yopougon boassi
379,Mo-Su,10476298,10476296,1,Adjame Agban
380,Mo-Su,10480217,10480216,0,Yopougon Camp Militaire
381,Mo-Su,10480217,10480215,1,Adjamé Agban
382,Mo-Su,10480360,10480358,0,Yopougon Niangon Terminus 27
383,Mo-Su,10480360,10480359,1,Gare Kobenan Agban
384,Mo-Su,10480446,10480445,0,Yopougon Carrefour Académie
385,Mo-Su,10480446,10480444,1,Gare Kobenan Agban
386,Mo-Su,10480461,10480459,0,Yopougon Carrefour Académie
387,Mo-Su,10480461,10480460,1,Adjamé mosquée
388,Mo-Su,10480573,10480572,0,Port-Bouët Vridi
389,Mo-Su,10480573,10480571,1,Adjamé Agban
390,Mo-Su,10521453,10521452,0,Bingerville
391,Mo-Su,10521453,10521451,1,Adjame Agban
392,Mo-Su,10628612,10628610,0,Saint Jean
393,Mo-Su,10628612,10628611,1,Riviera 2
394,Mo-Su,10628718,10628717,0,Angré Château
395,Mo-Su,10628718,10628716,1,Saint Jean
396,Mo-Su,10628857,10628855,0,Saint Jean
397,Mo-Su,10628857,10628856,1,Angré Pétro Ivoire
398,Mo-Su,10647547,10647546,0,Vridi Cité
399,Mo-Su,10647547,10647545,1,Marché de Port-Bouët
400,Mo-Su,10647596,10647595,0,Vridi Canal
401,Mo-Su,10647596,10647594,1,Marché de Port-Bouët
