route_id,agency_id,route_short_name,route_long_name,route_type
231,3,TX230,ቦሌ ሚካኤል - ገርጂ ጊዮርጊስ  - ብራሰ ,3
232,3,TX231,ቦሌ ኤርፖርት    - እስታዲየም - ቡናና ሻይ,3
234,3,TX237,ተ/ሀይማኖት - እስቴድየም - ቦሌ ሚካኤል,3
235,3,TX238,ተ/ሃይማኖት - ቄራ ጫፍ - ጎፋ ካምፕ,3
236,3,TX239,ቱሉ ዲምቱ ኮንዶሚኒየም  - በማሰልጠኛ -  ሳሪስ ሸዋ ዳቦ,3
237,3,TX240,ቱሪስት ሆቴል -  - አምባሳደር ሲኒማ,3
238,3,TX242,ቴሌ መ/ዓለም - ካዛንችስ ሃናን - ጣና ገበያ,3
239,3,TX243,ቶታል - መቻሬ ሜዳ - ቄራ ጫፍ,3
240,3,TX245,አለም ባንክ - ሜክሲኮ አደባባይ  - እስቴዲየም ,3
242,3,TX247,አለም ባንክ - አብነት - ወይራ,3
243,3,TX249,አለም ባንክ - ዘነበወርቅ  - ሸበሌ,3
244,3,TX251,አለም ባንክ - ኢየሱስ ገዳም መታጠፊ - አጣና ተራ,3
320,3,TX394,ጀሞ መንደር - ለቡ መ/ኃይል - ማሰልጠኛ,3
245,3,TX255,አለም ገና -  - ረጲ ኮንዶሚኒየም,3
246,3,TX256,አለምገና - ወለቴ - አብነት,3
247,3,TX260,አስኮ  - በዊንጌት - አዲሱ ገበያ,3
248,3,TX263,አስኮ  - ሣውድአረቢያ እምባሲ - ዘነበወርቅ መናኸሪያ,3
251,3,TX270,አቃቂ ቆርቆሮ  - በቀበሌ 09  -  ሳሪስ አቦ,3
252,3,TX271,አቃቂ ንግድ  - በበሰቃ ት/ቤት -  ሳሪስ አቦ,3
254,3,TX274,አቃቂ ገበያ - ቼራሊያ - አደይ አበባ,3
255,3,TX277,አቃቂ ገበያ  - በእስቴዲየም - መርካቶ,3
294,3,TX344,አጠና ተራ - በጨረታ - አስኮ መነኽሪያ,3
256,3,TX281,አብነት - ካራቆሬ - ወለቴ,3
295,3,TX345,አጠና ተራ - አባጅፋር መስጊድ - ጦርሀይሎች,3
257,3,TX282,አብነት - ሜክሲኮ - ሳሪስአቦ,3
296,3,TX346,አጣና ተራ -  - ሳውዲ አረቢያ ኤምባሲ,3
258,3,TX283,አውቶ/ተራ መናኸሪያ  - እንግሊዝ ኤምባሲ - መገናኛ መተባባር ህንፃ,3
298,3,TX351,እስቴዲየም - ቤተ- መንግስት  - ሽሮ ሜዳ ,3
259,3,TX284,አውቶቡስ ተራ (ቴሌ ፊት ለፊት) - በጊዬርጊስ ቶታል - ምኒ/ሆስፒታል,3
